Gen	tau_9GFCEDABOG	tau_10GFCEDAB	tau_11GFCE	tau_12GFC	tau_13GF	tau_14DAB	tau_15AB	lnL
2	0.000558	0.000197	0.000176	0.000151	0.000145	0.000190	0.000173	-4433932.218
4	0.000558	0.000197	0.000170	0.000151	0.000142	0.000190	0.000173	-4433921.749
6	0.000558	0.000197	0.000170	0.000149	0.000142	0.000190	0.000176	-4433913.355
8	0.000565	0.000200	0.000173	0.000154	0.000149	0.000193	0.000174	-4433598.218
10	0.000565	0.000200	0.000171	0.000154	0.000149	0.000193	0.000169	-4433619.684
12	0.000562	0.000200	0.000171	0.000151	0.000149	0.000192	0.000163	-4433493.623
14	0.000554	0.000197	0.000169	0.000149	0.000146	0.000189	0.000160	-4433434.561
16	0.000555	0.000197	0.000165	0.000149	0.000144	0.000189	0.000167	-4433727.342
18	0.000556	0.000196	0.000164	0.000151	0.000149	0.000185	0.000162	-4433681.468
20	0.000556	0.000196	0.000164	0.000154	0.000149	0.000185	0.000161	-4433498.881
22	0.000556	0.000196	0.000164	0.000154	0.000152	0.000187	0.000157	-4433703.084
24	0.000556	0.000196	0.000164	0.000154	0.000151	0.000187	0.000149	-4433888.522
26	0.000556	0.000196	0.000166	0.000154	0.000151	0.000187	0.000149	-4433819.417
28	0.000556	0.000196	0.000166	0.000154	0.000151	0.000187	0.000156	-4433746.472
30	0.000557	0.000196	0.000171	0.000154	0.000152	0.000183	0.000155	-4433731.969
32	0.000556	0.000196	0.000168	0.000154	0.000152	0.000182	0.000156	-4433818.281
34	0.000554	0.000195	0.000168	0.000153	0.000151	0.000182	0.000155	-4433867.817
36	0.000560	0.000198	0.000170	0.000155	0.000151	0.000184	0.000169	-4433807.759
38	0.000560	0.000198	0.000170	0.000153	0.000151	0.000184	0.000169	-4433583.210
40	0.000553	0.000195	0.000167	0.000151	0.000149	0.000182	0.000167	-4433499.305
42	0.000553	0.000195	0.000161	0.000151	0.000149	0.000182	0.000159	-4433353.293
