Gen	tau_4MEFEOG	tau_5MEFE	lnL
10	0.021513	0.021509	-347131.231
20	0.021483	0.021481	-347168.969
30	0.021599	0.021598	-347134.232
40	0.021215	0.021213	-347134.839
50	0.021693	0.021687	-347162.576
60	0.021472	0.021470	-347150.979
70	0.021956	0.021953	-347130.867
80	0.021905	0.021898	-347139.444
90	0.021977	0.021923	-347164.532
100	0.022000	0.021998	-347145.882
110	0.022129	0.022127	-347156.927
120	0.021665	0.021659	-347151.542
130	0.021794	0.021748	-347153.357
140	0.022277	0.022273	-347157.072
150	0.022549	0.022545	-347132.403
160	0.022064	0.022056	-347173.223
170	0.022404	0.022404	-347153.075
180	0.022120	0.022119	-347161.459
190	0.022318	0.022317	-347160.987
200	0.022093	0.022078	-347136.660
210	0.022105	0.022101	-347132.893
220	0.022416	0.022414	-347147.986
230	0.021971	0.021969	-347156.157
240	0.022276	0.022216	-347149.433
250	0.022261	0.022257	-347142.668
260	0.022396	0.022382	-347147.323
270	0.022812	0.022808	-347161.682
280	0.022571	0.022535	-347165.244
290	0.022561	0.022561	-347166.510
300	0.022334	0.022333	-347163.690
310	0.022542	0.022541	-347158.194
320	0.022593	0.022592	-347153.237
330	0.022364	0.022354	-347175.760
340	0.022183	0.022180	-347126.491
350	0.022164	0.022162	-347158.372
360	0.022429	0.022425	-347139.614
370	0.022526	0.022518	-347158.089
380	0.022262	0.022255	-347149.191
390	0.022140	0.022139	-347138.927
400	0.023058	0.023030	-347187.588
410	0.022857	0.022839	-347156.216
420	0.022508	0.022504	-347157.531
430	0.022216	0.022212	-347149.891
440	0.022500	0.022498	-347171.343
450	0.022964	0.022955	-347164.043
460	0.022856	0.022832	-347134.646
470	0.022795	0.022746	-347166.652
480	0.022730	0.022720	-347149.854
490	0.023022	0.022962	-347156.678
500	0.023045	0.022965	-347161.486
510	0.022739	0.022658	-347166.039
520	0.022363	0.022342	-347161.479
530	0.022372	0.022358	-347161.821
540	0.022761	0.022746	-347164.307
550	0.022572	0.022551	-347142.965
560	0.022373	0.022367	-347174.365
570	0.022339	0.022303	-347131.152
580	0.022266	0.022262	-347150.544
590	0.022249	0.022228	-347136.564
600	0.022527	0.022484	-347161.349
610	0.022527	0.022475	-347158.289
620	0.022685	0.022667	-347159.934
630	0.022426	0.022389	-347160.295
