Gen	tau_3OneOG	lnL
10	0.027553	-410618.089
20	0.019830	-416968.714
30	0.027191	-407584.679
40	0.017273	-435876.789
50	0.011978	-430655.405
60	0.029413	-411110.657
70	0.025915	-405794.829
80	0.015682	-419738.517
90	0.024617	-421022.806
100	0.025055	-404059.123
110	0.042831	-393654.570
120	0.036044	-416058.466
130	0.030599	-424110.175
140	0.039348	-409698.774
150	0.032890	-418673.222
160	0.023779	-409091.834
170	0.034440	-404761.450
180	0.042150	-414381.164
190	0.034183	-420835.695
200	0.031641	-437725.351
210	0.065266	-422760.642
220	0.047542	-398937.110
230	0.030358	-429544.121
240	0.018771	-425191.277
250	0.024664	-410193.601
260	0.039086	-411314.749
270	0.030871	-391776.079
280	0.024392	-408735.721
290	0.036583	-395177.104
300	0.037483	-432014.351
310	0.024798	-417116.228
320	0.019882	-406070.611
330	0.035624	-401796.853
340	0.019303	-420592.269
350	0.032288	-411634.023
360	0.025950	-410331.782
370	0.045874	-414060.004
380	0.031690	-405740.919
390	0.043827	-396037.819
400	0.031082	-407816.327
410	0.038860	-408260.863
420	0.036640	-408014.825
430	0.022097	-433008.889
440	0.037629	-413046.160
450	0.016839	-418753.086
460	0.032325	-407617.363
470	0.042396	-403002.591
480	0.024558	-412214.048
490	0.041728	-393747.697
500	0.046797	-385265.242
510	0.041344	-392027.768
520	0.021245	-404581.137
530	0.027048	-416521.287
540	0.037368	-412137.762
550	0.028733	-398562.111
560	0.019085	-418893.371
570	0.037661	-392868.476
580	0.019450	-418525.965
590	0.027087	-404480.814
600	0.030100	-399843.795
610	0.028340	-407664.005
620	0.030205	-414461.507
630	0.030938	-419163.538
640	0.025049	-414130.465
650	0.021188	-417191.249
660	0.028274	-399927.974
670	0.024575	-415401.918
680	0.022091	-439978.077
690	0.047366	-398316.611
700	0.031728	-424097.204
710	0.019458	-437698.622
720	0.027112	-419485.494
730	0.023016	-419266.219
740	0.043823	-404296.876
750	0.031788	-412526.725
760	0.024840	-425697.716
770	0.036635	-412793.732
780	0.035888	-430162.672
790	0.035092	-411863.474
800	0.053210	-422982.312
810	0.036787	-414013.934
820	0.021557	-424983.614
830	0.031292	-419707.764
840	0.049053	-440552.871
850	0.035949	-416655.871
860	0.047458	-407035.545
870	0.046697	-394815.092
880	0.054993	-416262.879
890	0.058752	-404378.802
900	0.023436	-412383.376
910	0.031363	-399895.284
920	0.030027	-436513.657
930	0.028878	-409099.950
940	0.052696	-412141.655
950	0.038565	-404355.971
960	0.022595	-413046.657
970	0.024024	-420963.229
980	0.031797	-398123.631
990	0.027836	-420953.054
1000	0.016002	-423582.397
1010	0.030773	-406362.247
1020	0.039470	-393866.706
1030	0.029023	-402348.506
1040	0.020007	-424068.825
1050	0.045947	-424396.083
1060	0.036557	-424805.740
1070	0.059161	-429349.380
1080	0.030978	-407675.658
1090	0.028021	-410974.674
1100	0.033113	-424650.370
1110	0.023920	-420252.268
1120	0.025300	-414107.141
1130	0.038420	-405059.310
1140	0.023759	-400374.634
1150	0.019511	-414953.506
1160	0.037165	-390631.069
1170	0.021365	-405746.581
1180	0.021365	-422299.656
1190	0.019951	-420370.072
1200	0.013807	-443861.751
1210	0.016102	-419961.107
1220	0.035278	-397540.731
1230	0.029880	-400008.348
1240	0.022792	-415223.219
1250	0.016280	-428268.594
1260	0.044447	-405544.503
1270	0.009345	-437729.772
1280	0.021426	-412326.170
1290	0.022806	-399384.589
1300	0.022177	-399922.273
1310	0.024321	-400640.777
1320	0.015335	-419662.578
1330	0.024905	-401456.320
1340	0.018269	-416991.373
1350	0.021870	-416141.494
1360	0.021870	-412700.116
1370	0.029895	-401355.948
1380	0.012837	-435511.966
1390	0.023680	-398419.952
1400	0.024558	-416440.001
1410	0.019333	-425436.430
1420	0.018557	-428994.209
1430	0.019517	-419759.574
1440	0.039535	-405184.170
1450	0.034681	-416441.551
1460	0.036770	-419447.313
1470	0.026928	-434493.804
1480	0.080045	-412123.027
1490	0.042552	-427705.223
1500	0.031598	-422715.744
1510	0.064521	-414790.912
1520	0.042902	-409608.148
1530	0.058383	-413686.415
1540	0.033949	-402708.071
1550	0.026760	-408763.266
1560	0.040739	-397757.814
1570	0.031358	-420241.738
1580	0.043139	-409271.744
1590	0.055572	-403828.812
1600	0.028542	-449828.560
1610	0.044964	-430780.923
1620	0.029641	-443553.285
1630	0.046551	-426661.090
1640	0.070050	-411482.911
1650	0.040821	-431402.972
1660	0.042667	-437724.959
1670	0.040186	-416827.396
1680	0.060640	-400765.761
1690	0.050087	-410461.575
1700	0.047752	-418251.941
1710	0.048758	-438450.001
1720	0.052164	-446763.002
1730	0.047723	-426972.451
1740	0.041918	-436865.172
1750	0.052511	-400396.438
1760	0.042628	-429949.371
1770	0.030186	-412874.489
1780	0.043120	-415968.606
1790	0.027165	-420481.494
1800	0.022941	-425733.523
1810	0.034795	-413104.104
1820	0.039729	-426792.124
1830	0.021611	-422180.395
1840	0.043192	-411768.915
1850	0.031551	-411316.705
1860	0.037859	-419622.380
1870	0.045149	-394115.512
1880	0.021544	-432966.288
1890	0.052403	-402029.020
1900	0.043616	-409533.826
1910	0.045569	-411813.474
1920	0.036442	-408674.318
1930	0.037572	-408037.460
