Gen	tau_4MEFEOG	tau_5MEFE	lnL
10	0.031039	0.029150	-449188.056
20	0.020729	0.019467	-448884.803
30	0.031154	0.013858	-479750.784
40	0.034751	0.020698	-451912.976
50	0.032447	0.031513	-435607.518
60	0.073830	0.071703	-446744.970
70	0.034792	0.032842	-463780.882
80	0.079824	0.067311	-450471.334
90	0.045147	0.038248	-452363.202
100	0.041235	0.032759	-506388.841
110	0.039785	0.031795	-492921.885
120	0.140473	0.074729	-497198.655
130	0.215985	0.153033	-464534.173
140	0.095329	0.075533	-477061.629
150	0.073650	0.046359	-507458.403
160	0.099311	0.058895	-444575.772
170	0.067028	0.047849	-443999.590
180	0.065858	0.038777	-462974.630
190	0.047169	0.017810	-472003.495
200	0.072013	0.043612	-432434.843
210	0.027736	0.016073	-472415.835
220	0.018625	0.013205	-450017.625
230	0.010242	0.006052	-472037.508
240	0.024475	0.017871	-420940.802
250	0.037281	0.037021	-422765.629
260	0.041405	0.041116	-441442.206
270	0.036273	0.036020	-440560.616
280	0.008976	0.008914	-496313.055
290	0.025445	0.025268	-460889.428
300	0.015310	0.015203	-455367.905
310	0.019654	0.019516	-449001.670
320	0.036773	0.036516	-427923.102
330	0.020158	0.020018	-493426.327
340	0.076584	0.076049	-415388.983
350	0.038442	0.038174	-437271.078
360	0.055857	0.055467	-428815.109
370	0.033012	0.032781	-423304.025
380	0.019611	0.019474	-465665.539
390	0.026369	0.026185	-471097.429
400	0.036722	0.036466	-453791.812
410	0.048081	0.044039	-447408.589
420	0.046331	0.033597	-437505.314
430	0.062403	0.044960	-429536.512
440	0.063570	0.032405	-422873.927
450	0.038133	0.016853	-415045.785
460	0.040217	0.030016	-402354.374
470	0.019489	0.009114	-450291.771
480	0.021750	0.014582	-436219.304
490	0.018371	0.006961	-445429.439
500	0.020938	0.007814	-449067.045
510	0.026867	0.009431	-433654.888
520	0.030599	0.006822	-429414.421
530	0.051887	0.034525	-386867.296
540	0.066149	0.024666	-435816.460
550	0.022881	0.012166	-449134.586
560	0.036014	0.022690	-426249.429
570	0.031383	0.019420	-427559.953
580	0.047611	0.033014	-428925.661
590	0.050099	0.043195	-413282.605
600	0.064546	0.015879	-436757.915
610	0.031269	0.015799	-450090.104
620	0.023328	0.019486	-418112.674
630	0.021773	0.012357	-443056.879
640	0.031370	0.018907	-431139.082
650	0.037735	0.027503	-425687.351
660	0.029276	0.019619	-417561.094
670	0.046050	0.012681	-477123.855
680	0.047217	0.028384	-444585.497
690	0.105387	0.076401	-418380.026
700	0.031130	0.020999	-439912.640
710	0.034804	0.021007	-459813.306
720	0.041165	0.018813	-464444.044
730	0.035893	0.010120	-460946.338
740	0.036305	0.025732	-432940.114
750	0.028297	0.020522	-430745.352
760	0.026191	0.017449	-434851.740
770	0.031678	0.013238	-428279.600
780	0.032935	0.016492	-425402.045
790	0.076673	0.013497	-456997.462
800	0.055534	0.022644	-460920.220
810	0.019868	0.007534	-490832.911
820	0.022700	0.004386	-484923.179
830	0.027769	0.013273	-442911.275
840	0.035200	0.018604	-444155.840
850	0.048566	0.018979	-411764.581
860	0.014109	0.006087	-451552.877
870	0.038668	0.035319	-413110.100
880	0.064045	0.019683	-428634.055
890	0.025730	0.015241	-426949.175
900	0.011502	0.007350	-484177.721
910	0.023907	0.012576	-432820.717
920	0.031998	0.010122	-465126.982
930	0.033360	0.015071	-430096.180
940	0.019401	0.011262	-447093.075
950	0.035917	0.020955	-412730.179
960	0.056188	0.018055	-429446.351
970	0.045935	0.025664	-408856.159
980	0.012610	0.006572	-487976.331
990	0.041369	0.021003	-429356.068
1000	0.028316	0.007108	-461802.442
1010	0.041781	0.011922	-436943.899
1020	0.049207	0.030967	-402260.488
1030	0.044252	0.024251	-421783.416
1040	0.017693	0.006799	-439230.176
1050	0.033826	0.024815	-396471.866
1060	0.024356	0.018707	-423955.373
1070	0.026531	0.021033	-433271.004
1080	0.045318	0.041183	-409385.634
1090	0.017450	0.013013	-466769.846
1100	0.019007	0.009063	-487893.085
1110	0.028269	0.021864	-413092.901
1120	0.017879	0.014149	-445751.344
1130	0.028278	0.011965	-446342.457
1140	0.019707	0.011772	-443430.506
1150	0.070236	0.022800	-426720.244
1160	0.045341	0.031962	-425887.095
1170	0.029820	0.014574	-454602.047
1180	0.018940	0.010017	-457031.561
1190	0.037861	0.029484	-420070.306
1200	0.035497	0.028594	-408017.660
1210	0.048316	0.028262	-411558.050
1220	0.043742	0.014804	-421599.327
1230	0.042592	0.011375	-497453.874
1240	0.041040	0.024858	-424830.533
1250	0.027610	0.013336	-477764.752
1260	0.032506	0.031853	-450626.833
1270	0.017424	0.017075	-456494.578
1280	0.029127	0.028543	-422157.895
1290	0.015213	0.014907	-467841.468
1300	0.029586	0.028992	-429755.284
1310	0.026530	0.025997	-432305.000
1320	0.014560	0.013295	-456018.407
1330	0.029955	0.027352	-446676.146
1340	0.020096	0.018350	-456700.208
1350	0.009819	0.008966	-483013.509
1360	0.044212	0.037906	-429827.974
1370	0.032643	0.030460	-437236.931
1380	0.059258	0.055295	-413106.056
1390	0.024813	0.023153	-429421.924
1400	0.015021	0.014017	-435965.176
1410	0.008435	0.006770	-454337.729
1420	0.011009	0.009950	-438712.450
1430	0.021262	0.018273	-437324.343
1440	0.032538	0.022924	-429644.769
1450	0.089741	0.040796	-432594.086
1460	0.015378	0.013475	-484429.199
1470	0.061670	0.028063	-443566.559
1480	0.033602	0.025551	-467312.816
1490	0.024332	0.023797	-466497.953
1500	0.022085	0.021600	-446647.444
1510	0.029949	0.029292	-430069.770
1520	0.007402	0.007240	-475481.719
1530	0.021464	0.020993	-472934.986
1540	0.028052	0.021297	-439016.796
1550	0.034644	0.029552	-426991.816
1560	0.027548	0.018983	-439898.222
1570	0.031621	0.026441	-426545.579
1580	0.008990	0.007517	-466869.668
1590	0.036493	0.033090	-421221.093
1600	0.023959	0.021725	-458056.998
1610	0.051998	0.047148	-398061.670
1620	0.045347	0.030735	-440118.858
1630	0.008164	0.006455	-469175.940
1640	0.023617	0.015670	-416239.668
1650	0.030507	0.026608	-422429.835
1660	0.032840	0.025077	-406110.855
1670	0.018574	0.015951	-445938.752
1680	0.030184	0.025835	-445555.071
1690	0.035169	0.026016	-434072.781
1700	0.029574	0.021421	-443897.315
1710	0.031315	0.021011	-419334.080
1720	0.045508	0.042598	-410887.805
1730	0.025340	0.014617	-440752.424
1740	0.020137	0.011132	-450289.402
1750	0.029494	0.022772	-404913.111
1760	0.024085	0.022190	-427215.698
1770	0.018066	0.015623	-434354.457
1780	0.023405	0.011862	-429979.315
1790	0.018910	0.009338	-429135.157
1800	0.034922	0.014822	-426098.437
