Gen	tau_3OneOG	lnL
10	0.021592	-347058.183
20	0.021581	-347050.415
30	0.021684	-347067.694
40	0.021539	-347066.381
50	0.021427	-347071.339
60	0.021668	-347065.340
70	0.021529	-347070.824
80	0.021252	-347058.922
90	0.021121	-347054.502
100	0.020999	-347068.531
110	0.020653	-347079.316
120	0.020880	-347067.914
130	0.021050	-347086.744
140	0.021173	-347070.469
150	0.021333	-347078.263
160	0.021363	-347080.502
170	0.021186	-347059.995
180	0.021276	-347062.397
190	0.021292	-347066.584
200	0.021416	-347093.541
210	0.021328	-347065.610
220	0.021417	-347073.590
230	0.021343	-347079.841
240	0.021613	-347065.231
250	0.021297	-347064.339
260	0.021585	-347078.355
270	0.021242	-347060.038
280	0.021067	-347058.238
290	0.021082	-347072.485
300	0.021034	-347066.431
310	0.020857	-347071.387
320	0.020940	-347058.156
330	0.020809	-347084.497
340	0.021253	-347067.384
350	0.021240	-347062.317
360	0.021260	-347062.684
370	0.021505	-347062.886
380	0.021137	-347067.621
390	0.021026	-347069.765
400	0.021131	-347061.543
410	0.021123	-347085.104
420	0.021208	-347061.573
430	0.021097	-347057.552
440	0.020910	-347077.879
450	0.021435	-347069.085
460	0.020989	-347070.219
470	0.021059	-347059.853
480	0.021078	-347060.489
490	0.020931	-347063.653
500	0.020939	-347068.772
510	0.020782	-347064.953
520	0.021244	-347070.777
530	0.020928	-347067.231
540	0.020758	-347064.020
550	0.020481	-347067.157
560	0.020734	-347077.327
570	0.020492	-347069.233
580	0.020432	-347064.484
590	0.020451	-347062.798
600	0.020608	-347076.682
610	0.020313	-347068.474
620	0.020313	-347057.614
630	0.020431	-347085.141
640	0.020591	-347075.633
650	0.020261	-347065.962
660	0.019950	-347070.181
670	0.020180	-347081.656
680	0.019808	-347062.100
690	0.019815	-347074.091
700	0.020089	-347084.370
710	0.019955	-347068.390
720	0.020311	-347058.896
730	0.019913	-347085.716
740	0.020026	-347059.347
750	0.020152	-347069.811
760	0.020334	-347067.816
770	0.020053	-347075.399
780	0.019985	-347060.399
790	0.020312	-347077.963
800	0.019994	-347067.553
810	0.019951	-347090.060
820	0.019978	-347074.202
830	0.020043	-347055.431
840	0.020080	-347064.943
850	0.019916	-347067.375
860	0.020228	-347071.455
870	0.019896	-347074.013
880	0.020137	-347060.083
890	0.020292	-347058.329
900	0.020412	-347072.899
910	0.020090	-347065.635
920	0.020175	-347058.277
930	0.020325	-347081.758
940	0.020239	-347068.706
950	0.020470	-347074.480
960	0.020551	-347080.131
970	0.020769	-347072.666
980	0.020959	-347058.641
990	0.020995	-347054.462
1000	0.021263	-347077.191
1010	0.020762	-347071.792
1020	0.020600	-347068.830
1030	0.020861	-347068.873
1040	0.020884	-347070.541
1050	0.020841	-347084.818
1060	0.021184	-347054.891
1070	0.021104	-347075.507
1080	0.021567	-347076.711
1090	0.021459	-347066.271
1100	0.020989	-347083.511
1110	0.021063	-347069.649
1120	0.021448	-347067.104
1130	0.021342	-347069.558
1140	0.021426	-347056.849
1150	0.021057	-347058.829
1160	0.021218	-347080.618
1170	0.021267	-347081.257
1180	0.021306	-347064.449
1190	0.021487	-347073.276
1200	0.021127	-347066.919
1210	0.021308	-347065.960
1220	0.021623	-347059.195
1230	0.021405	-347059.473
1240	0.021209	-347066.179
1250	0.021002	-347076.561
1260	0.021002	-347066.405
1270	0.021003	-347071.931
1280	0.020689	-347076.747
1290	0.020461	-347062.776
1300	0.020848	-347062.764
1310	0.020834	-347080.659
1320	0.021061	-347074.822
1330	0.021207	-347066.609
1340	0.021060	-347068.563
1350	0.021024	-347071.327
1360	0.021340	-347074.828
1370	0.020919	-347060.875
